# SNAP pixel extraction export table																																																																												
#																																																																												
# Window size: 1																																																																												
# Created on:	04.08.2021 14:38																																																																											
																																																																												
# Wavelength:	 	 	 	 	 	 	 	 	443	490	560	665	705	740	783	842	865	945	1610	2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProdID	CoordID	Name	Latitude	Longitude	PixelX	PixelY	Date(yyyy-MM-dd)	Class	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	scl_nodata	scl_saturated_defective	scl_dark_feature_shadow	scl_cloud_shadow	scl_vegetation	scl_not_vegetated	scl_water	scl_unclassified	scl_cloud_medium_proba	scl_cloud_high_proba	scl_thin_cirrus	scl_snow_ice	agri	bare	cloud	forest	rocks	snow	water	water_2	pins
2	1	pin_1	45.42875	10.590076	1705.5	3362.5	27.06.2021	NonForestVeget	0.043200001	0.053100001	0.092	0.071199998	0.144500002	0.303499997	0.3486	0.358399987	0.376700014	0.3838	0.261900008	0.154499993	0.225999996	2.628000021			4	7.417939186	115.096077	25.55109978	144.8869934	7.520619869	118.9800034	7.302370071	109.4049988	7.333499908	111.6050034	7.371379852	113.6050034	7.395899773	114.6920013	7.42264986	115.7570038	7.452310085	116.8280029	7.316589832	110.5070038	7.484059811	117.875	7.558499813	120.038002	7.361219883	113.1110001	7.420199871	115.663002	7.493909836	118.1829987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	2	pin_2	45.427832	10.594851	1731.5	3367.5	27.06.2021	NonForestVeget	0.042199999	0.057500001	0.093699999	0.077699997	0.148900002	0.317499995	0.367900014	0.372900009	0.394199997	0.3935	0.2755	0.156299993	0.224999994	2.621999979			4	7.417939186	115.096077	25.55109978	144.8869934	7.520619869	118.9800034	7.302370071	109.4049988	7.333499908	111.6050034	7.371379852	113.6050034	7.395899773	114.6920013	7.42264986	115.7570038	7.452310085	116.8280029	7.316589832	110.5070038	7.484059811	117.875	7.558499813	120.038002	7.361219883	113.1110001	7.420199871	115.663002	7.493909836	118.1829987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	3	pin_3	45.431138	10.600727	1763.5	3349.5	27.06.2021	NonForestVeget	0.0416	0.051800001	0.081500001	0.059300002	0.130099997	0.316700011	0.37439999	0.382400006	0.399100006	0.415499985	0.264699996	0.144800007	0.224999994	2.520999908			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	5	pin_5	45.447115	10.6044	1783.5	3262.5	27.06.2021	NonForestVeget	0.046399999	0.056200001	0.087700002	0.0691	0.140400007	0.34799999	0.414999992	0.427100003	0.453200012	0.486900002	0.257099986	0.140000001	0.228	2.605999947			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	6	pin_6	45.440137	10.617256	1853.5	3300.5	27.06.2021	NonForestVeget	0.0381	0.0495	0.0836	0.058699999	0.135600001	0.376199991	0.458600014	0.471899986	0.491899997	0.486200005	0.258300006	0.133000001	0.228	2.726000071			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	7	pin_7	45.424343	10.630478	1925.5	3386.5	27.06.2021	NonForestVeget	0.040899999	0.051100001	0.087300003	0.059599999	0.141100004	0.365999997	0.427899987	0.446099997	0.463099986	0.464399993	0.25940001	0.142199993	0.226999998	2.788000107			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	8	pin_8	45.425996	10.643884	1998.5	3377.5	27.06.2021	NonForestVeget	0.0403	0.056200001	0.094099998	0.073399998	0.152400002	0.35589999	0.423799992	0.42809999	0.457100004	0.462000012	0.289600015	0.157800004	0.225999996	2.631999969			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	9	pin_9	45.443259	10.63911	1972.5	3283.5	27.06.2021	NonForestVeget	0.0416	0.052099999	0.097999997	0.056400001	0.160400003	0.418000013	0.493699998	0.509599984	0.535300016	0.521600008	0.293500006	0.149299994	0.228	2.786000013			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
